geo_point_2d;geo_shape;objectid_1;objectid;numero;nom;larg;sens;chauss;tunnel;shape_leng;niveau_route;code_statu;gestionn;statut_2;statut;shape_len
48.9157649207, 2.02772385922;"{""coordinates"": [[2.028439684886237, 48.915706724312244], [2.027610565554604, 48.91577155169654], [2.027008562694424, 48.91582920135836]], ""type"": ""LineString""}";4977;148830;0;A14;2;D;2;0;105.77695972;0;501;Etat;Autoroute concédée;autoroute;105.776959714
48.8866106075, 2.10381410228;"{""coordinates"": [[2.103093728392934, 48.886810682807095], [2.104092101735256, 48.8865547455248], [2.104511543103939, 48.886348477635146]], ""type"": ""LineString""}";4983;149114;0;N13;0;D;2;0;116.9179103;0;503;Etat;Voie rapide DIRIF;nationale;116.917910305
48.8000903727, 2.04572777171;"{""coordinates"": [[2.045085276109652, 48.79893386460859], [2.045633533650931, 48.80003266852404], [2.046457144088908, 48.80119484317776]], ""type"": ""LineString""}";4990;149469;128910;A12;2;>;1;0;271.32297401;0;500;;;bretelle autoroute / voie rapide;271.322974012
48.7987878408, 1.91949251448;"{""coordinates"": [[1.92499498911044, 48.79855049757601], [1.920603344565512, 48.79894695394491], [1.917426593494857, 48.79893531232711], [1.916424291418533, 48.7988441563053], [1.915236367397704, 48.798648940598156], [1.9149034672332, 48.798562933408384], [1.914026394505275, 48.798339278548255]], ""type"": ""LineString""}";4992;149477;0;N12;0;;0;0;818.49117279;0;502;Etat;Voie rapide DIRIF;voie rapide;818.491172795
48.7811042405, 2.17473357295;"{""coordinates"": [[2.17408666307991, 48.781144277775], [2.175380482822054, 48.78106420323157]], ""type"": ""LineString""}";5502;162922;0;;0;;0;0;95.48592846;0;500;;;bretelle autoroute / voie rapide;95.4859284599
48.6660533357, 1.83710494235;"{""coordinates"": [[1.837026640151431, 48.66569686120055], [1.837183244545791, 48.66640981025439]], ""type"": ""LineString""}";5511;163322;126839;N10;2;D;2;0;80.09783126;0;502;Etat;Voie rapide DIRIF;voie rapide;80.0978312611
48.8000940739, 1.95724330381;"{""coordinates"": [[1.953211495834099, 48.800936208086014], [1.955001859072145, 48.80046228722707], [1.957074505268536, 48.800008127328866], [1.960198149139193, 48.79962686828975], [1.961033811611523, 48.7996033483419], [1.961327576372521, 48.79957249084646]], ""type"": ""LineString""}";5516;163400;0;N12;2;D;2;0;618.68419039;0;502;Etat;Voie rapide DIRIF;voie rapide;618.684190389
48.7991919561, 1.96591169683;"{""coordinates"": [[1.96582884739401, 48.79926910523369], [1.965977071943155, 48.799130971159855], [1.965995048140021, 48.799115364820885]], ""type"": ""LineString""}";5519;163408;0;N12;2;>;1;0;21.00719043;0;500;;;bretelle autoroute / voie rapide;21.0071904317
48.8578166916, 2.2593695551;"{""coordinates"": [[2.257804956629842, 48.85707296575066], [2.259378537036179, 48.85794191602708], [2.260285360677914, 48.85815195930758], [2.261007328003915, 48.85838273649435]], ""type"": ""LineString""}";4008;123016;7057;P;3;D;2;1;279.92927171;0;502;Ville de Paris;Voie rapide communale;voie rapide;279.929271708
48.8163047793, 2.36082692312;"{""coordinates"": [[2.360632866634279, 48.816353098386934], [2.360935832330111, 48.816288680913665], [2.360996217334815, 48.816215602322316]], ""type"": ""LineString""}";4017;123213;0;P;0;;0;0;32.62831307;0;500;Ville de Paris;;bretelle autoroute / voie rapide;32.6283130737
48.8482642573, 2.24907536953;"{""coordinates"": [[2.248956098516279, 48.848289142895666], [2.24919464054037, 48.848239371611584]], ""type"": ""LineString""}";4020;123295;8918;;2;;1;0;18.35950693;0;500;Ville de Paris;Autoroute DIRIF;bretelle autoroute / voie rapide;18.3595069286
48.9469503591, 2.72081972734;"{""coordinates"": [[2.719102790009965, 48.9470604785464], [2.720411009509518, 48.94706860310104], [2.721373741599167, 48.946980780824525], [2.721843587711738, 48.94682926881266], [2.722272733830788, 48.946600616314605], [2.722462246764866, 48.946505012348474]], ""type"": ""LineString""}";4508;137768;289466;;2;D;1;0;263.24913926;0;499;;;bretelle nationale;263.249139261
