area;pop;density;nb_pt;work_or_edu_fac;other_fac;cars_per_persons;big_road;insee
6.565409;33286;5069.905012772243;40;86;987;0.4772727272727273;183.4716315750983526.0800225381138506.8562991808154504.2216190999137315.6040541854971586.4404616510567585.8743883664322160.5852047552993156.809567342298855522.7990806432331217.42523036985074375.6926424253066532.23867488431645.1444535790830972.8556701108375539.7912028466069525.201863213228783107.7000948582555780.3744135997609314.41156991238945762.29020631068976827.6153707785387199.49390665496514338.5594034856634278.105625985391541.90514056916252185.17931111685556585.4699838610851263.2574562064591;92019.0
2.9248525;289;98.80840144930386;0;0;8;0.6666666666666666;0;78406.0
5.3096255;14796;2786.63721198416;0;32;499;0.2916666666666667;528.9633237680024112.22580312313515184.10444824704095197.22132262228632161.034127208005250.778073094725;94074.0
3.889371;291;74.81929597356488;0;0;11;0.0;0;78072.0
5.050616;243;48.112943054866975;0;0;7;0.0;0;77263.0
2.64261;2590;980.0916518139264;0;9;91;1.0;0;95014.0
6.8295755;1914;280.2516788927804;0;5;53;0.0;0;91411.0
2.249939;1140;506.6804033353793;0;1;27;0.4;0;78033.0
8.231305;40032;4863.384360074131;4;163;1843;0.42857142857142855;0;77288.0
16.7511365;166361;9931.32615210914;88;907;8983;0.3746031746031746;60.967316727905555;75116.0
16.1851645;140296;8668.184991261596;129;866;7505;0.2801047120418848;0;75112.0
24.6265985;1028;41.743483169224525;0;3;24;0.0;0;77211.0
14.452236;1323;91.54292802857634;0;1;44;0.0;0;77135.0
37.8372655;477;12.606619260051971;1;1;20;0.7142857142857143;0;77262.0
13.8075555;1843;133.47764562670054;2;6;71;1.0;0;95446.0
38.6163255;2015;52.180003506548026;0;2;53;0.3333333333333333;0;77433.0
2.31483;9231;3987.765840256088;1;25;311;0.4642857142857143;0;91191.0
16.4377955;9327;567.4118527633465;0;32;210;0.75;0;78356.0
12.9799565;37388;2880.4410862239793;38;142;1300;0.5416666666666666;366.3027273357108347.3774623539398;78498.0
